symbol,security,esgScores
AFL,Aflac,"{'maxAge': 86400, 'totalEsg': {'raw': 17.3, 'fmt': '17.3'}, 'environmentScore': {'raw': 0.47, 'fmt': '0.5'}, 'socialScore': {'raw': 7.26, 'fmt': '7.3'}, 'governanceScore': {'raw': 9.57, 'fmt': '9.6'}, 'ratingYear': 2022, 'ratingMonth': 8, 'highestControversy': 2.0, 'peerCount': 96, 'esgPerformance': 'UNDER_PERF', 'peerGroup': 'Insurance', 'relatedControversy': ['Business Ethics Incidents'], 'peerEsgScorePerformance': {'min': 9.29, 'avg': 21.185416666666665, 'max': 44.52}, 'peerGovernancePerformance': {'min': 4.41, 'avg': 10.650425531914896, 'max': 16.65}, 'peerSocialPerformance': {'min': 3.89, 'avg': 8.766702127659576, 'max': 13.76}, 'peerEnvironmentPerformance': {'min': 0.05, 'avg': 1.4494680851063833, 'max': 3.16}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.46875, 'max': 4.0}, 'percentile': {'raw': 16.56, 'fmt': '17'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
A,Agilent Technologies,"{'maxAge': 86400, 'totalEsg': {'raw': 15.24, 'fmt': '15.2'}, 'environmentScore': {'raw': 0.34, 'fmt': '0.3'}, 'socialScore': {'raw': 8.65, 'fmt': '8.6'}, 'governanceScore': {'raw': 6.26, 'fmt': '6.3'}, 'ratingYear': 2023, 'ratingMonth': 1, 'highestControversy': 1.0, 'peerCount': 52, 'esgPerformance': 'UNDER_PERF', 'peerGroup': 'Pharmaceuticals', 'relatedControversy': ['Business Ethics Incidents'], 'peerEsgScorePerformance': {'min': 10.9, 'avg': 26.197692307692304, 'max': 39.97}, 'peerGovernancePerformance': {'min': 4.91, 'avg': 8.857254901960786, 'max': 14.29}, 'peerSocialPerformance': {'min': 3.72, 'avg': 14.802549019607845, 'max': 21.38}, 'peerEnvironmentPerformance': {'min': 0.11, 'avg': 2.3019607843137257, 'max': 5.26}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.4230769230769231, 'max': 4.0}, 'percentile': {'raw': 10.91, 'fmt': '11'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': True, 'catholic': True, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
APD,Air Products and Chemicals,"{'maxAge': 86400, 'totalEsg': {'raw': 10.81, 'fmt': '10.8'}, 'environmentScore': {'raw': 5.94, 'fmt': '5.9'}, 'socialScore': {'raw': 1.28, 'fmt': '1.3'}, 'governanceScore': {'raw': 3.59, 'fmt': '3.6'}, 'ratingYear': 2022, 'ratingMonth': 8, 'highestControversy': 1.0, 'peerCount': 77, 'esgPerformance': 'UNDER_PERF', 'peerGroup': 'Chemicals', 'relatedControversy': ['Employee Incidents'], 'peerEsgScorePerformance': {'min': 8.23, 'avg': 26.200909090909093, 'max': 41.44}, 'peerGovernancePerformance': {'min': 3.38, 'avg': 7.447662337662338, 'max': 10.94}, 'peerSocialPerformance': {'min': 0.98, 'avg': 5.952467532467535, 'max': 13.81}, 'peerEnvironmentPerformance': {'min': 3.87, 'avg': 12.801688311688313, 'max': 19.67}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.5194805194805194, 'max': 4.0}, 'percentile': {'raw': 3.12, 'fmt': '3'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
AKAM,Akamai,"{'maxAge': 86400, 'totalEsg': {'raw': 16.55, 'fmt': '16.5'}, 'environmentScore': {'raw': 2.93, 'fmt': '2.9'}, 'socialScore': {'raw': 6.9, 'fmt': '6.9'}, 'governanceScore': {'raw': 6.72, 'fmt': '6.7'}, 'ratingYear': 2023, 'ratingMonth': 1, 'highestControversy': 1.0, 'peerCount': 76, 'esgPerformance': 'UNDER_PERF', 'peerGroup': 'Software & Services', 'relatedControversy': ['Business Ethics Incidents'], 'peerEsgScorePerformance': {'min': 9.98, 'avg': 18.43026315789474, 'max': 49.81}, 'peerGovernancePerformance': {'min': 3.73, 'avg': 6.773243243243243, 'max': 34.36}, 'peerSocialPerformance': {'min': 4.98, 'avg': 9.715270270270274, 'max': 15.2}, 'peerEnvironmentPerformance': {'min': 0.01, 'avg': 1.9593243243243244, 'max': 5.45}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.1842105263157894, 'max': 5.0}, 'percentile': {'raw': 14.46, 'fmt': '14'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
ALK,Alaska Air Group,
ALB,Albemarle Corporation,"{'maxAge': 86400, 'totalEsg': {'raw': 28.8, 'fmt': '28.8'}, 'environmentScore': {'raw': 15.53, 'fmt': '15.5'}, 'socialScore': {'raw': 5.54, 'fmt': '5.5'}, 'governanceScore': {'raw': 7.73, 'fmt': '7.7'}, 'ratingYear': 2023, 'ratingMonth': 1, 'highestControversy': 2.0, 'peerCount': 64, 'esgPerformance': 'AVG_PERF', 'peerGroup': 'Chemicals', 'relatedControversy': ['Operations Incidents', 'Business Ethics Incidents'], 'peerEsgScorePerformance': {'min': 15.05, 'avg': 26.930468749999992, 'max': 41.48}, 'peerGovernancePerformance': {'min': 4.07, 'avg': 7.6271875000000025, 'max': 10.93}, 'peerSocialPerformance': {'min': 1.01, 'avg': 5.912812500000003, 'max': 12.92}, 'peerEnvironmentPerformance': {'min': 4.59, 'avg': 13.391718750000003, 'max': 19.67}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.46875, 'max': 4.0}, 'percentile': {'raw': 60.23, 'fmt': '60'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': True, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
ARE,Alexandria Real Estate Equities,"{'maxAge': 86400, 'totalEsg': {'raw': 13.85, 'fmt': '13.9'}, 'environmentScore': {'raw': 3.91, 'fmt': '3.9'}, 'socialScore': {'raw': 3.66, 'fmt': '3.7'}, 'governanceScore': {'raw': 6.27, 'fmt': '6.3'}, 'ratingYear': 2023, 'ratingMonth': 1, 'highestControversy': 0.0, 'peerCount': 94, 'esgPerformance': 'UNDER_PERF', 'peerGroup': 'Real Estate', 'peerEsgScorePerformance': {'min': 4.67, 'avg': 13.967127659574471, 'max': 29.55}, 'peerGovernancePerformance': {'min': 3.16, 'avg': 6.095164835164835, 'max': 14.37}, 'peerSocialPerformance': {'min': 0.82, 'avg': 4.183186813186812, 'max': 10.15}, 'peerEnvironmentPerformance': {'min': 0.05, 'avg': 3.6408791208791222, 'max': 8.28}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 0.574468085106383, 'max': 4.0}, 'percentile': {'raw': 7.93, 'fmt': '8'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
ALGN,Align Technology,
ALLE,Allegion,"{'maxAge': 86400, 'totalEsg': {'raw': 23.72, 'fmt': '23.7'}, 'environmentScore': {'raw': 12.75, 'fmt': '12.8'}, 'socialScore': {'raw': 4.54, 'fmt': '4.5'}, 'governanceScore': {'raw': 6.43, 'fmt': '6.4'}, 'ratingYear': 2023, 'ratingMonth': 1, 'highestControversy': 0.0, 'peerCount': 12, 'esgPerformance': 'AVG_PERF', 'peerGroup': 'Building Products', 'peerEsgScorePerformance': {'min': 13.09, 'avg': 19.453333333333333, 'max': 25.64}, 'peerGovernancePerformance': {'min': 4.85, 'avg': 6.279166666666668, 'max': 7.93}, 'peerSocialPerformance': {'min': 2.18, 'avg': 4.020833333333333, 'max': 5.9}, 'peerEnvironmentPerformance': {'min': 5.55, 'avg': 9.1525, 'max': 12.75}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 0.8333333333333334, 'max': 2.0}, 'percentile': {'raw': 39.72, 'fmt': '40'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
LNT,Alliant Energy,"{'maxAge': 86400, 'totalEsg': {'raw': 21.87, 'fmt': '21.9'}, 'environmentScore': {'raw': 10.04, 'fmt': '10.0'}, 'socialScore': {'raw': 5.65, 'fmt': '5.7'}, 'governanceScore': {'raw': 6.18, 'fmt': '6.2'}, 'ratingYear': 2023, 'ratingMonth': 1, 'highestControversy': 1.0, 'peerCount': 91, 'esgPerformance': 'AVG_PERF', 'peerGroup': 'Utilities', 'relatedControversy': ['Customer Incidents'], 'peerEsgScorePerformance': {'min': 8.44, 'avg': 29.322527472527483, 'max': 69.69}, 'peerGovernancePerformance': {'min': 3.36, 'avg': 6.387906976744186, 'max': 9.93}, 'peerSocialPerformance': {'min': 2.71, 'avg': 10.069767441860462, 'max': 34.78}, 'peerEnvironmentPerformance': {'min': 1.27, 'avg': 12.562209302325577, 'max': 28.57}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.6373626373626373, 'max': 5.0}, 'percentile': {'raw': 32.38, 'fmt': '32'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
ALL,Allstate,"{'maxAge': 86400, 'totalEsg': {'raw': 19.22, 'fmt': '19.2'}, 'environmentScore': {'raw': 1.44, 'fmt': '1.4'}, 'socialScore': {'raw': 7.85, 'fmt': '7.8'}, 'governanceScore': {'raw': 9.94, 'fmt': '9.9'}, 'ratingYear': 2022, 'ratingMonth': 8, 'highestControversy': 2.0, 'peerCount': 96, 'esgPerformance': 'UNDER_PERF', 'peerGroup': 'Insurance', 'relatedControversy': ['Employee Incidents', 'Customer Incidents'], 'peerEsgScorePerformance': {'min': 9.29, 'avg': 21.185416666666665, 'max': 44.52}, 'peerGovernancePerformance': {'min': 4.41, 'avg': 10.650425531914896, 'max': 16.65}, 'peerSocialPerformance': {'min': 3.89, 'avg': 8.766702127659576, 'max': 13.76}, 'peerEnvironmentPerformance': {'min': 0.05, 'avg': 1.4494680851063833, 'max': 3.16}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.46875, 'max': 4.0}, 'percentile': {'raw': 22.85, 'fmt': '23'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
GOOGL,Alphabet Inc. (Class A),"{'maxAge': 86400, 'totalEsg': {'raw': 24.14, 'fmt': '24.1'}, 'environmentScore': {'raw': 1.66, 'fmt': '1.7'}, 'socialScore': {'raw': 11.1, 'fmt': '11.1'}, 'governanceScore': {'raw': 11.39, 'fmt': '11.4'}, 'ratingYear': 2022, 'ratingMonth': 8, 'highestControversy': 4.0, 'peerCount': 105, 'esgPerformance': 'AVG_PERF', 'peerGroup': 'Software & Services', 'relatedControversy': ['Customer Incidents'], 'peerEsgScorePerformance': {'min': 9.71, 'avg': 17.753523809523806, 'max': 32.54}, 'peerGovernancePerformance': {'min': 3.83, 'avg': 6.586407766990292, 'max': 11.84}, 'peerSocialPerformance': {'min': 3.87, 'avg': 9.547378640776701, 'max': 21.01}, 'peerEnvironmentPerformance': {'min': 0.01, 'avg': 1.6194174757281556, 'max': 5.45}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.4857142857142858, 'max': 4.0}, 'percentile': {'raw': 40.68, 'fmt': '41'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
GOOG,Alphabet Inc. (Class C),
